name,artist,videoID,emotion
スマイル,森七菜,v7BY5m2wYx4,happy
瞳そらさないで,DEEN,6ylG-thIwx8,happy
渚にまつわるエトセトラ,Puffy AmiYumi,oVVrICEKdsQ,happy
今夜このまま,Aimyon,mH6LoI63buY,happy
Siren,Taichi Mukai,tZYsvAoSNxQ,happy
名もなき詩,Mr.Children,4gd2oVFUcz0,happy
R.Y.U.S.E.I.,J SOUL BROTHERS III,4-Gw0TAM6-Q,happy
あなただけを ~Summer Heartbreak~,サザンオールスターズ,QymHKz0vG4c,happy
白いカイト,My Little Lover,_0k4e-Curjw,happy
パプリカ,Foorin,T0valuAksuo,happy
ブルーバード,Ikimonogakari,KpsJWFuVTdI,happy
DAYBREAK FRONTLINE,MARY,emrt46SRyYs,happy
たぶん,YOASOBI,8iuLXODzL04,happy
CRAZY GONNA CRAZY - Radio Mix,TRF,sL3CACNBI_c,happy
いるべき場所,トゥイ(安崎求),h4DQjK8BGoo,happy
エロティカ・セブン EROTICA SEVEN,サザンオールスターズ,2Fg-4uwzh8M,happy
Dragon Night,SEKAI NO OWARI,gsVGf1T2Hfs,happy
Don't Go Breaking My Heart - Japanese Version,Runt of the Litter,tIPjyJHliao,happy
Brave Shine,Aimer,VQ2D8rZljwU,happy
夏の日の1993,class,Kj57YmedrlI,happy
PIECE,TENDRE,GDBMTVlXSuA,happy
Follow Me,E-girls,FkXdPTA5URk,happy
踊りの合図,Lucky Kilimanjaro,495p6AKZiAw,happy
Love Forever,Miliyah,HkIhnJ9Y-2A,happy
100万回の「I love you」,FUKI,_6h1UACCeIU,happy
"Stand by me, Stand by you.",HIRAIDAI,Zy_KuTFwot4,happy
猫,DISH//,kU_Dtj7sg0w,happy
あの紙ヒコーキ　くもり空わって,19,9usSwKbtXWY,happy
アイカタ,Berry Goodman,yglexAP3ulY,happy
愛の言霊 ~Spiritual Message~,サザンオールスターズ,LQN87Lt5n8A,happy
あした世界が終わるとしても,Aimyon,rVMCKwRs9Os,happy
Darling,Kana Nishino,RaKxMVBwxRc,happy
Midnight Pretenders (feat. ひかり),Tokimeki Records,BnMRd7r-XG4,happy
KNOCKIN' ON YOUR DOOR,L⇔R,xd8yYObr7L0,happy
LA・LA・LA LOVE SONG,Toshinobu Kubota,lQzwGV9vk0M,happy
Family Song,Gen Hoshino,foptl0BeXnY,happy
ノンフィクション,Ken Hirai,ihMPLCNykZI,happy
寒い夜だから・・・,TRF,_WNuc7Im4V8,happy
TOMORROW,Mayo Okamoto,-zU4Mj9dpUI,happy
midnight drivin',Yoko Kuzuya,QKHdseOczNU,happy
ビリミリオン,Yuuri,vUsikBoa8i0,happy
Welcome - Japanese Version,Kyo Nishimura,1kCsZPoiLZE,happy
あいつら全員同窓会,ZUTOMAYO,ZUwaudw8ht0,happy
サウダージ,PornoGraffitti,lzsB4eKPdJI,happy
Can You Keep A Secret?,Hikaru Utada,3IM1vSNJw3Y,happy
Night Light,Night Tempo,Abbn1ZrMcp0,happy
サヨナラ,GAO,H8a2k0cGmew,happy
ハルカ,YOASOBI,vd3IlOjSUGQ,happy
LEVEL,yanaginagi,x7iWgijDfuU,happy
浪漫飛行,Kome Kome Club,EX3TRj0_2Ys,happy
涙のキッス,サザンオールスターズ,zUwxPNg9hoo,happy
愛のままにわがままに 僕は君だけを傷つけない,B'z,FwP0I7-jEw0,happy
悲しい気持ち(Just a man in love),Keisuke Kuwata,Ax3TTEORxcQ,happy
おにごっこ,Yuuri,m3VnVRHOMZM,happy
アゲハ蝶,PornoGraffitti,1jFEhVWIQIM,happy
ギラギラ,Ado,sOiMD45QGLs,happy
それが大事,Daijiman Brothers Band,Jb2OnNum8aI,happy
恋しさと せつなさと 心強さと,Ryoko Shinohara,oBE4lGvGUVg,happy
HAPPY BIRTHDAY,back number,8xy8qIjdC3g,happy
さくら,Ketsumeishi,Py8EKk-X5FE,happy
つけまつける,Kyary Pamyu Pamyu,NLy4cvRx7Vc,happy
さくらんぼ,Ai Otsuka,upODO6OuOOk,happy
Super Shy,NewJeans,ArmDp-zijuc,happy
青のすみか,Tatsuya Kitani,zuoVd2QNxJo,happy
アンコール,YOASOBI,vcGbefQBvJ4,happy
SUNRISE,YONA YONA WEEKENDERS,e0emCuq0QI0,happy
CROSS ROAD,Mr.Children,C4zJfYA_ur8,happy
女々しくて,GOLDEN BOMBER,BC9P3DSZu0A,happy
NEW ERA,Nulbarich,gzfSY-B9WjE,happy
Kura Kura,Ado,W_fHWaoQwkw,happy
GLAMOROUS SKY,Nana starring Mika Nakashima,FZXghsN-W_o,happy
トリセツ,Kana Nishino,aPHGClLjZWk,happy
スターラブレイション,Kera Kera,JQowMIY2bOw,happy
マタアイマショウ,SEAMO,XOBjOWELu1o,happy
フィクション,sumika,IKHGAuNaGuA,happy
大切なもの,Road Of Major,s5tEjshfryA,happy
シーズン・イン・ザ・サン,TUBE,jdBWcHTGo9U,happy
ノーダウト,OFFICIAL HIGE DANDISM,EHw005ZqCXk,happy
Automatic,Hikaru Utada,-9DxpPiE458,happy
Monster,ARASHI,dvBOAeLr0dY,happy
にんじゃりばんばん,Kyary Pamyu Pamyu,teMdjJ3w9iM,happy
im,dodo,zFnJQ8VFRlk,happy
ケセラセラ,Mrs. GREEN APPLE,Jy-QS27q7lA,happy
Love so sweet,ARASHI,EAgACSowE5k,happy
ラブ・ストーリーは突然に,Kazumasa Oda,VwJruL9nBwQ,happy
シャッター,Yuuri,EZ5RGA2UULE,happy
悲しみは雪のように(single / 1992),Shogo Hamada,Oy7fhdAWvpk,happy
Rain,SIRUP,jnNSqf00dvo,happy
祝福,YOASOBI,3eytpBOkOFA,happy
KNOCKIN' ON YOUR DOOR,L⇔R,xd8yYObr7L0,happy
On My Way - Japanese Version,Jin Hashimoto,1RH12kcl4uc,happy
Zero to Hero - Japanese Version,Atsuko Takezawa,SxHlS3ndpY4,happy
君がいるだけで,Kome Kome Club,4ApxLvrnouU,happy
Friend Like Me - Japanese Version,Koichi Yamadera,P8PeXzdie7U,happy
Overdose,natori,H08YWE4CIFQ,happy
恋色,もさを。,FRRA1X_I5IE,happy
月の逆襲,Creep Hyp,eS3DgW9zFZo,happy
HANABI feat.春茶,kobasolo,6OTp1qp4zvc,happy
君に届け,flumpool,ZNu10SawQgc,happy
Mellow Yellow,SPiCYSOL,IQNBQI3UDag,happy
Dreamland,BENNIE K,S9ML0nikw4s,happy
I Just Can't Wait to Be King,Toshiki Kumagai,l8UFnc85-xM,happy
パレード,MORISAKI WIN,ry3Tupx4BL4,happy
Love's Moment,椿鬼奴,v6xAroezZFM,happy
夢見る少女じゃいられない,Nanase Aikawa,FnFYjUvW3Qg,happy
Universe,OFFICIAL HIGE DANDISM,M8EsxRh0zOc,happy
ベテルギウス,Yuuri,cbqvxDTLMps,happy
Butterfly,Kumi Koda,-arWQe-m9SE,happy
青いベンチ,Sasuke,BkOVkthMkOc,happy
A Star Is Born - Japanese Version,Disney Studio Chorus,VCw1KY3hOSE,happy
アゲハ蝶,PornoGraffitti,1jFEhVWIQIM,happy
Blue (feat. Jin Dogg),PETZ,MQBedLiRrmo,happy
晩餐歌,tuki.,IxW-ok1ekSY,happy
心を開いて,ZARD,HUTbH6ywrXk,happy
桜が降る夜は,Aimyon,OIT9LpQKbeg,happy
